origin_id,destination_id,origin_value,destination_value,distance_m,reward
S010,S033,300000.00,109914.00,3729.28,8841974.883422
S010,S034,300000.00,106912.00,5280.47,6074001.067599
S010,S035,300000.00,98981.00,5703.97,5205900.900334
S010,S036,300000.00,93904.00,8493.94,3316622.036890
S010,S037,300000.00,93226.00,9581.16,2919039.806081
S010,S038,300000.00,89049.00,11801.42,2263684.544376
S010,S039,300000.00,82028.00,3309.97,7434621.991827
S010,S040,300000.00,76596.00,7252.55,3168377.011061
S010,S041,300000.00,70363.00,12961.94,1628528.759660
S010,S042,300000.00,60000.00,6934.35,2595771.871651
S010,S043,300000.00,60000.00,9020.15,1995533.257548
S010,S044,300000.00,52204.00,10081.15,1553513.520749
S010,S045,300000.00,44256.00,10658.98,1245597.250766
S010,S046,300000.00,41735.00,9818.12,1275244.680484
S010,S047,300000.00,30000.00,6029.21,1492731.966908
S010,S048,300000.00,30000.00,2980.33,3019801.820145
S010,S049,300000.00,30000.00,14775.73,609107.001656
S010,S050,300000.00,30000.00,13180.11,682847.121888
S010,S051,300000.00,30000.00,9919.53,907300.932156
S010,S052,300000.00,30000.00,10794.18,833782.465324
S010,S053,300000.00,30000.00,12425.48,724317.932637
S010,S054,300000.00,30000.00,12616.51,713351.154791
S011,S012,291757.76,256253.00,4461.95,16755867.186843
S011,S013,291757.76,255969.52,3296.63,22653788.923604
S011,S014,291757.76,255460.18,10790.57,6907188.453953
S011,S015,291757.76,248397.61,7545.47,9604694.992987
S011,S016,291757.76,238774.51,8377.00,8316137.006997
S011,S017,291757.76,229598.00,10433.91,6420121.828448
S011,S018,291757.76,225003.45,9285.27,7069961.480873
S011,S019,291757.76,220000.00,2945.70,21789976.865591
