line_id,station_sequence,length,covered_population,direct_od_coverage,construction_cost
L0254,"['S050', 'S041', 'S028', 'S026', 'S038', 'S053', 'S015']",11595.708936157269,249659.0,0.011943466467769039,11.59570893615727
L0255,"['S040', 'S035', 'S009', 'S012', 'S005', 'S030', 'S025', 'S033', 'S004']",12935.965758268701,733492.0,0.18011571407032248,12.9359657582687
L0256,"['S003', 'S002', 'S043', 'S032', 'S047', 'S014', 'S008', 'S039', 'S048', 'S031', 'S010', 'S001']",21035.802485703985,861728.0,0.10579599285065647,21.03580248570399
L0257,"['S039', 'S024', 'S017', 'S020']",4404.844055460702,528130.0,0.07294605946598909,4.404844055460702
L0258,"['S041', 'S050', 'S052', 'S037', 'S036', 'S007', 'S034', 'S027', 'S031', 'S001', 'S017']",19512.337663747363,809653.0,0.09755232431996018,19.512337663747363
L0259,"['S014', 'S008', 'S039', 'S001', 'S017', 'S020', 'S024']",11608.634067304672,1058392.0,0.2540211612804752,11.60863406730467
L0260,"['S007', 'S037', 'S052', 'S050', 'S029', 'S041', 'S015']",12185.310498938892,313649.0,0.015012824589932177,12.185310498938893
L0261,"['S012', 'S005', 'S027', 'S048', 'S039', 'S024', 'S020', 'S001', 'S017', 'S010', 'S025', 'S030']",19999.561845945558,1099816.0,0.24368499903224983,19.999561845945557
L0262,"['S005', 'S030', 'S033', 'S025', 'S010']",8163.226968817016,209697.0,0.006142653187348861,8.163226968817016
L0263,"['S024', 'S020', 'S001', 'S010', 'S017', 'S039']",11464.039689232086,706190.0,0.152935474829422,11.464039689232088
L0264,"['S054', 'S003', 'S043', 'S002', 'S045', 'S018']",11190.647955360504,209252.0,0.007543794345993877,11.190647955360506
L0265,"['S047', 'S008', 'S024', 'S020', 'S017', 'S039', 'S001', 'S010', 'S031', 'S025', 'S005', 'S030']",22709.956058284562,1068479.0,0.24359895386853317,22.70995605828456
L0266,"['S017', 'S010', 'S025', 'S030', 'S005', 'S031', 'S048']",10034.86887329539,329381.0,0.007045603519160764,10.034868873295391
L0267,"['S016', 'S042', 'S014', 'S047', 'S008', 'S039', 'S017', 'S001']",14526.696452004533,841888.0,0.15809128906177217,14.526696452004536
L0268,"['S017', 'S010', 'S031', 'S005', 'S030', 'S012', 'S009', 'S035', 'S023', 'S046', 'S011', 'S006']",22761.008650077478,819223.0,0.16640742579614448,22.761008650077486
L0269,"['S033', 'S004', 'S035', 'S023', 'S046', 'S022']",9224.284277311544,220630.0,0.005679047437575817,9.224284277311543
L0270,"['S026', 'S051', 'S011', 'S040', 'S006']",6859.313877810532,117287.0,0.0042492272475799725,6.859313877810533
L0271,"['S005', 'S025', 'S030', 'S033']",5341.748677949303,209697.0,0.006142653187348861,5.341748677949303
L0272,"['S035', 'S033', 'S025', 'S030', 'S005']",8289.639698397532,278678.0,0.012373138891065177,8.289639698397533
L0273,"['S010', 'S017', 'S020', 'S024', 'S008']",8828.18628006723,708608.0,0.08752544665187842,8.828186280067229
L0274,"['S013', 'S019', 'S051', 'S026', 'S036', 'S037', 'S007', 'S034']",13060.782887167043,234042.0,0.00686205023198999,13.060782887167043
L0275,"['S013', 'S022', 'S046', 'S011', 'S006', 'S040', 'S035', 'S033', 'S025', 'S030', 'S005', 'S012']",22170.908714184512,633953.0,0.07399611835552011,22.170908714184513
L0276,"['S004', 'S033', 'S025', 'S005', 'S027', 'S048', 'S039', 'S008', 'S014', 'S047', 'S032', 'S003']",22148.160894122237,906470.0,0.10543055274232896,22.14816089412224
L0277,"['S033', 'S025', 'S005', 'S030', 'S004', 'S035', 'S009']",11488.146412329228,490643.0,0.04096783988822864,11.488146412329225
L0278,"['S001', 'S024', 'S017', 'S010', 'S025', 'S033', 'S004']",11791.8254626481,617355.0,0.08344247313166527,11.791825462648099
